frame,FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight,FaceScore,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,Pitch,Roll,Yaw,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,input,frame
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/Public/Desktop/feat/Onisha_PyFeat/P1_Qozeem/y2.mov,0
10,572.0526200699745,222.74149099170918,225.24461275445287,301.42160108418364,0.8986935615539551,577.7713710305202,580.6062858079538,585.0658595254905,592.7039717674912,605.9788199575773,625.249712272052,650.3032003370109,680.6147882138304,713.2850447613672,744.3163269584405,769.1951950441622,788.2941299594893,799.7735583544135,805.2903165033194,806.96472365036,806.3860706171201,803.3060798950013,596.4346022023577,605.1784505385762,622.3407411172271,643.5240450556594,664.0303529723599,705.7199324884631,723.7943453921438,745.2392397396227,765.9537678871365,779.4329340651515,692.7951003935576,694.2137920552309,695.4321973279773,696.969142040594,669.6957197411659,684.3424973563718,700.7364664941854,716.8300276079614,730.204070380981,619.3884787816743,633.4445085666341,647.9227028214294,664.6276871849328,650.1246888945659,635.503426773579,724.7104885364988,739.627943828021,753.9701309047167,768.8624695500494,755.5219946895763,740.832529555525,656.9876561605194,672.3874588556433,689.7207797812652,703.0681105159769,716.4164976589833,734.9712960651472,751.7486551765114,737.0557836646935,721.3139849536873,706.4455125120728,691.5965944035861,674.3756192661988,662.6801445953395,690.7469403037359,704.6754033972769,718.7303120958833,746.7611144645257,719.9803664987636,705.5542273016716,691.4321180999129,343.37759952489705,375.68130395353876,408.02794383358497,440.50516871446325,469.3157944387435,491.5780038566443,505.5230029738997,511.571156054374,508.68366879476616,498.8043324572559,480.46137625320137,456.5179253733741,429.0850069808049,399.28616519525,368.93808811355876,337.76579696850087,308.0399874910719,299.9191505567927,283.3969032689131,273.07815497920546,270.0212974428043,273.9442157466524,263.5620667897503,253.807855546937,249.82619878597038,255.50238834995855,271.5097390011166,308.6980759602645,328.4017183868743,347.1711293720018,367.0293415796031,393.41693318492696,396.13683959403653,397.048757105213,391.4047340958297,384.1309102406641,333.5569585257994,327.8430832128506,324.97845964704874,326.44545503901173,332.7395895569952,335.25964076423696,313.7241540156524,306.0037928421387,303.9197472093279,306.64689756102945,313.05587875218987,315.0835251176775,441.3066376604652,425.5601821292212,414.7694888237112,415.41264744098424,410.1617807920391,414.23925809720225,424.87310710998423,434.51205666207625,441.79288730695134,445.26275736785976,446.9522776213199,445.6270888734007,439.2254917606264,428.76543269199294,427.74071664617003,423.86037806440277,424.41037871756896,426.56241176991483,429.9806687398554,430.96082160312596,8.951704688597085,-6.1105687079283015,1.8982441772447802,0.67541856,0.55609155,0.5096349,0.348677,0.24365616,0.0,0.43645385,0.009317009,0.4880304,0.22011839,0.2978658,0.5210227,0.62077785,0.0,0.4278751,0.5731187,0.10775759,0.21515651,0.16952674,0.52114666,0.19638962,0.00075755315,0.0005475409,0.033477258,0.00041202357,0.596787,0.17162903,C:/Users/Public/Desktop/feat/Onisha_PyFeat/P1_Qozeem/y2.mov,10
20,562.7482903944019,223.05069965720662,233.8408973441476,320.5542690927933,0.8657478094100952,574.1105665417455,577.3081960749666,582.8290107089887,591.4696149001426,605.8644619422743,627.0447309000708,654.0278726320514,687.2448844491217,724.0752073212094,757.8768558246715,783.7703296027146,801.6671960227098,811.1962535491975,813.9191165478444,813.2700526647486,811.2888819743524,806.5323435591695,590.1696872994523,598.8252060427259,616.6143002071665,638.148288231566,659.140606319262,700.1801688880531,719.1985041594335,741.8038293392774,764.6747504787731,780.6659016903485,686.63848925395,689.4190157400385,691.9150308083681,694.7967377994587,668.2123568522039,683.6264604884584,700.7932590090034,716.4614488352494,729.5198786384149,610.7789845563505,624.242388585632,639.8351343938157,657.3138086948477,642.2375580682142,626.7939119255707,721.116508683666,735.9167655806458,751.5717719057869,767.2619724469212,753.9751356211337,738.1843277706977,660.4399148685961,674.4081552788854,692.1387605540762,706.9915909606798,721.300114730359,741.821162777252,760.5075718825517,745.8767974902115,728.5356557654891,712.5961838782454,696.652722548928,678.3052899168215,667.0054359858306,693.8779968033256,708.9702625178231,724.3164539275161,754.5702961805813,726.0721523572757,710.4744885299842,695.202055942995,342.85126299107054,378.5140664692177,414.37307483554855,450.6734438910452,483.2350178888334,509.0170394949267,526.4370988036547,534.4675934914994,530.9392071114261,518.6521382259542,497.3137818940382,469.8280621721089,438.32637287967486,404.03766852582595,369.69257317898973,334.61111624391503,301.3861599344397,291.25173896504054,273.04699193858875,262.2882175527301,259.0169381039882,262.6851727710002,252.72300857342984,241.08119755160442,235.56359281350367,239.47880031186745,254.70950425188104,295.6483563361442,316.97703712464056,337.70268164476846,359.5891391691443,392.19500973064504,394.37290118535526,394.5590063653012,387.83214212237016,380.1024032184284,323.6527379193704,315.15578803460437,311.9606920263781,316.0898218920193,322.68331495942425,325.5959745183264,300.9703867013315,290.0970591547848,287.1522891727566,291.9859109457044,298.9615994420989,301.5864574399229,449.2102357631916,430.3409543016951,417.1863881156894,417.3682975031098,410.6510629479423,414.62351550088664,426.7343611002842,440.2730601167462,450.4000753976985,455.2996146761711,457.71318127498176,456.6004479260678,447.04999873604805,434.1044884858249,432.1271238148781,427.2440467169157,426.7830139513185,433.0388947512966,437.7158506754615,439.43213616887425,8.511744752641425,-5.650352744115471,1.136229510035357,0.6655592,0.58656394,0.56921494,0.35661358,0.14626293,1.0,0.45483336,0.39734566,0.50602967,0.15404506,0.3834056,0.13748705,0.49911833,0.0,0.4692279,0.5066446,0.6777416,0.16225483,0.02679238,0.51010305,0.03388643,0.0010021299,0.00083583413,0.041171137,0.0003313292,0.82055426,0.10221889,C:/Users/Public/Desktop/feat/Onisha_PyFeat/P1_Qozeem/y2.mov,20
30,568.5983718988549,222.2294850526148,227.78750198791352,300.3502030054209,0.9646387100219727,577.6933708407688,580.232601561109,584.022642205083,591.350333750179,604.9510334143638,625.066518476518,650.9347431305118,681.5413470168859,714.4304684832296,745.5609285111914,770.5230979415803,789.5542963887544,800.8524028705782,805.7142003327481,806.565453136128,805.2068214378529,801.500815826147,592.8894095600499,601.617323350483,619.5557709907646,641.1679894205068,661.8869992935569,703.0877853561815,721.3319213690987,743.0291898896569,764.2746553134862,778.0999031146381,689.4377721068821,691.1356589287149,692.6800517119318,694.4882308212735,667.6104042304308,682.3391293287171,698.7508966889083,714.7204207630331,728.15042947077,615.4101107608236,629.1097813187667,643.6851627574813,660.8430250037641,646.2711882139467,631.5426349774252,721.8246920139928,736.5459626082343,751.175888674527,766.6423733633158,753.0527050761539,738.0728684568909,656.5889200002845,671.4031248437984,688.5702139185746,702.1394091730141,715.5093521939812,734.9767572827359,752.5760464717024,737.8678588543002,721.528724572424,706.3807212163823,691.3481015526296,673.9698695585344,662.3960968060993,689.7433423245546,703.8046852249911,718.1033477397856,747.727117159166,719.7564216064675,705.0896956398041,690.7382071150787,348.07176100068955,379.9859214171358,411.88069367824954,444.1779232268968,472.19502145606975,493.6177837729286,507.11333626118545,513.0482815477095,510.42440353756433,500.7208305088145,482.9126433448305,459.2139371605027,431.7992144166741,401.92959674286146,371.3506518592471,340.022185595607,310.1306555467926,301.3016655559833,283.9654645047225,274.027241089648,271.47733345717444,275.6438158140474,266.52143630814015,256.5897597521655,252.02529388432188,256.79040299179616,272.59970893576065,310.041394842741,328.89856177041537,346.67745724487486,365.59255232862023,393.16316443441036,395.4138016570244,396.03310552619365,390.6448954786858,383.85592611782596,335.7529782395527,329.0410351733684,326.0847335448132,328.3579168826865,334.52647601426673,337.2845136144966,315.6986222588375,307.0567252816467,304.7504800367854,308.0962633896377,314.250149823055,316.5218401118472,440.5596530460806,424.75640522932247,413.8060825111306,414.60029869134377,409.27780428612084,413.5171399191947,424.4053990576021,435.21185199600257,442.9944831150335,446.300222676706,447.72695459925137,445.7132503020248,438.4809635190691,428.8532459767227,427.9281355799544,424.0482058623517,423.9896224833027,426.5328328776323,429.79461879297764,430.61590320113436,8.638781717005749,-6.103286811259581,1.4487591028213942,0.5041143,0.52499735,0.8102048,0.32796678,0.2975342,0.0,0.39540896,0.02139444,0.5009196,0.28404683,0.26656795,0.30207527,0.6366428,1.0,0.3512085,0.5600801,0.06353522,0.1653482,0.039190903,0.42512313,0.11217901,0.0006218239,0.000412399,0.040915325,0.00056075864,0.5571791,0.28813162,C:/Users/Public/Desktop/feat/Onisha_PyFeat/P1_Qozeem/y2.mov,30
40,564.4566535464377,221.23269870057396,229.89170841284977,316.25401446906886,0.8986379504203796,573.9088255574783,578.2164789033775,584.8355598578507,595.0134960281184,610.8057782060591,632.7572490391902,660.0330742771806,693.1406148135801,729.5662745569641,762.8366808921359,787.9228093960096,804.7321884872823,813.3830542118127,815.7682464550807,814.5471148882867,811.7617025647863,806.3384298074228,590.2274357084509,598.4195966968146,615.601599163528,637.2301998607184,658.6854389632155,700.7397972627894,718.9466101480267,740.8363390092483,762.6749461058553,778.370933880272,688.2670141270727,691.6741213968861,694.6524844514321,697.9672558614418,671.166738622993,686.8929922916815,704.5125156305966,720.7965620398298,734.2153466436645,611.9532469292833,625.9440750310553,641.3425047290904,659.5218792512845,644.5257733167164,629.141854508947,723.3551158777906,738.1590514799326,753.5098316217018,769.5987105154064,755.9681325124185,740.4505054079071,663.011493882351,677.7925604119155,695.7715082104957,710.5520092338143,724.7381405726139,745.5659844258412,764.7292267143679,749.8927179524715,732.7109416882564,716.8228175117881,700.8284007813714,682.0413332475085,669.4424422189926,697.9226713490278,713.0235203504313,728.2180398063787,758.9421977194968,729.7564429972805,714.2914758343721,698.9895554322346,350.2316943078463,385.1358821173259,419.9862450423361,455.0433344305379,486.3070079223386,510.5508940440619,526.5787208834769,533.5002911287946,529.1961778519938,516.6031228479337,495.22273415212214,467.4134442522787,435.7894754211943,401.65135630256435,367.3861340001426,332.8378984419795,300.3658285840391,301.62225905069175,283.3140678607812,271.12207554126013,265.8809523456484,267.2995926238282,253.20917887218187,241.93136698433122,236.71744746667065,240.5536976336551,254.8671922891195,299.1555094966638,319.9919151144515,340.24833752661164,361.71339381753484,396.49753596116943,398.0146308767319,397.41704911673713,390.26000207069467,381.832805376478,334.2026459749406,326.20952056482645,321.6689125760584,322.5246592473569,330.72309735504825,334.749614925942,302.9714325416453,292.96332920709716,289.6947935877389,292.83150970121596,300.2525011323935,303.2327303575503,453.1554031392712,434.5955560149454,421.07179083165215,420.65033033682954,413.6784526558911,416.47623825604836,427.06054721450244,439.3830187901023,449.2783827995004,454.42602781269187,457.40855299320634,457.69551348254294,450.8454458469361,437.07514256075154,434.7496225365338,429.351729699479,427.2106551923707,433.8869540687876,438.9306816542625,441.0859390580138,9.0239308143806,-6.348778212099594,1.2931861632799306,0.6887478,0.55998284,0.58621633,0.36661994,0.15597849,0.0,0.41386923,0.06635533,0.48901555,0.25760406,0.49725497,0.27102542,0.61829585,0.0,0.4780425,0.55355084,0.05613664,0.20555143,0.08880495,0.45826125,0.092773594,0.03448219,0.0009371744,0.11798319,0.0011587756,0.52448064,0.22818446,C:/Users/Public/Desktop/feat/Onisha_PyFeat/P1_Qozeem/y2.mov,40
50,565.2753260178117,220.43734677933674,227.146449586514,313.54275621811223,0.9224010109901428,575.4445885058642,579.4816803154471,585.6258936057834,594.7793777804502,609.4239141210451,630.8783724055169,657.9108633594753,690.3016426322391,725.9645461442602,759.2548789734216,785.1619047807808,803.3216443030261,812.9758186214207,815.9771337667704,815.3041870166657,813.1851235175691,808.7856615335309,590.7701787132421,599.4018807850225,616.5732809281067,637.6297055739531,658.4248747405665,703.2946482951727,722.1674104112404,744.2225578249672,765.8744574793835,780.8460705646347,688.3261300428442,691.0210791551623,693.4370672042435,696.2058886328492,670.1918892527237,685.4773139110818,702.4430085832646,718.4730545281133,731.824051625443,613.0360999474393,626.8191738455452,642.1312297654671,659.4136962857265,644.6182307743311,629.3454209240824,723.0246567045305,738.2578953033858,753.8816659349777,769.576528018492,755.7907741744856,740.1493540247035,660.266401248097,675.2489808065313,693.0428124014694,707.8221197453222,722.2874136791382,743.562640769994,763.2605795338474,747.3814851861245,729.4654525433868,713.34408660099,697.3207237011485,678.8994595837638,666.656244475355,695.070264360786,710.1889044361958,725.7643239099505,757.5882890181684,726.8881519347862,711.1175112973144,695.7924593217492,348.38942428408,383.15366007956186,417.9920597335632,452.8690550937975,483.6343182265118,507.2326435261136,522.394162735932,528.4210583108523,524.0827529165276,512.5577520963009,492.7027169221271,466.6518262365087,436.3739544364844,403.04341120565215,369.2730316654113,334.94609800455356,302.63505553220307,294.9902014889361,277.0891440250695,266.01975082767865,261.91502122030465,264.3827692287033,251.8398206730376,241.10188856694367,236.56562039060606,241.25645080247943,256.5786714544468,297.36267125333114,318.50266760125584,338.88310672988854,360.21543124553745,393.97261289320545,395.58282306608226,395.25414283915075,388.6895088307313,381.08027900556493,327.16414062017407,317.7840272128888,314.2780076115419,318.2049132772268,324.5720274235625,327.7557246612649,301.79821719514314,290.279069645879,287.39709619182406,292.5436687844865,299.21969435180125,301.83485059789234,448.31875364426105,430.70565580674935,418.0693408513311,418.0850168528749,411.3782223669364,414.42456957394546,424.7185221069894,436.6040036837458,445.6741740590778,450.3543687860697,452.86961575193567,452.83454097881065,446.2555765483791,433.9711306404879,432.00371395460843,426.9815401896472,424.7844779303659,430.0942468938922,434.61552867819603,436.36792175491746,8.207816165411408,-5.85134302077917,1.334674495038453,0.56730175,0.48462495,0.45480445,0.35253152,0.16377321,0.0,0.44127256,0.39369968,0.49004236,0.30538526,0.37133014,0.37224093,0.613331,0.0,0.3971796,0.5590743,0.017446155,0.1140813,0.048156735,0.4447189,0.076185614,0.007938024,0.00048981694,0.10681054,0.0009661146,0.3786564,0.4289535,C:/Users/Public/Desktop/feat/Onisha_PyFeat/P1_Qozeem/y2.mov,50
60,570.3038028784987,214.06618203922193,228.75168972646316,318.2253744021045,0.9282634258270264,577.6382443241794,580.613350564862,585.7544744946445,594.7255376438638,609.522855493444,630.4065663979757,656.3093610868069,687.7627261859649,722.374988949266,754.8598940108042,780.4463186707939,798.9948047352915,809.8350788412753,814.1359768260827,814.2205121177922,812.0966368876586,807.187011966534,593.6877952401828,601.6088021481297,616.8812611432238,636.2023210200139,655.569028588652,703.1987247801256,720.101299155311,740.9158727554355,761.2095550925623,776.7419020684695,688.4467701067375,690.784350736403,692.6352957880524,694.8358536777903,669.2586814669337,684.2439731201175,701.1338011939143,717.3610719692795,731.1292397879898,612.2282010600504,626.2319819838044,641.498818949536,659.8436145655929,645.0350754185401,629.770434913673,724.7654667296945,739.3521747100799,754.5107363977655,771.1291137744894,757.2252206072426,741.8919890680278,657.6097000603461,672.7697526100692,691.7376830352629,706.3483586145095,720.4774060912856,742.2558049276633,760.7993062778679,745.0279206284189,726.5652444857697,710.6051452920113,694.5421197145397,675.7361583619914,663.658912609372,693.207695765412,708.2145537053204,723.193096647144,755.5240901194145,724.7601633578666,709.357282386064,694.0782681502558,355.30988906609895,387.80540087129265,420.3600464104286,453.1996173081055,482.0083069591417,503.4951569125069,517.1183810754266,522.4463805783805,519.167849771204,509.264952326092,491.49005294962177,466.3971832884022,436.6184773404384,404.07459787372534,371.3376233216007,338.10295122275494,307.27791049829915,300.12187514431645,284.3791231504868,273.5658780318227,268.66942049525767,270.07776161181306,256.04928472911854,245.9796155870877,241.39466855195985,245.17249019353113,257.817048783581,302.79775626958786,321.7411045421035,340.0578241532267,359.4875121074762,395.21305049081224,396.75521639132205,396.5263292363861,391.0316263202708,384.23941820654994,335.94248727926015,328.87949992541445,324.4580811087271,324.9854138061768,333.20388752278086,337.06751908620066,308.9961346867395,300.2639964047997,297.32244594058517,300.28922725317346,307.4898519007639,310.23565559365295,449.0144375309049,430.15532865381664,416.72398184930086,417.22409208878497,411.764760159023,417.4286019423151,430.32007459926473,442.7343120754725,451.98059290904996,455.76515188135534,457.3868911205342,455.4631555834546,447.12090617586585,433.86145235007683,432.60398419558317,428.6529039001364,430.13914540330353,435.4479344091647,439.11791323648714,440.0629149169395,8.247887244749565,-5.67546193273992,0.9412374391498697,0.64452183,0.5044719,0.7707148,0.37821215,0.15878928,0.0,0.52036476,0.21828003,0.48710972,0.32247913,0.40846094,0.36552584,0.6340732,0.0,0.37280363,0.57173526,0.1259265,0.20206213,0.1851441,0.6416805,0.07276124,0.0025275282,0.0011956495,0.14227507,0.00055144227,0.5029664,0.27772272,C:/Users/Public/Desktop/feat/Onisha_PyFeat/P1_Qozeem/y2.mov,60
70,570.4918097964377,226.82148202327804,213.3505287849872,288.9898901068241,0.8477683067321777,577.4200243820187,581.0998619906733,586.0201473677882,593.7514825352871,607.3771123868087,626.8866501630877,652.4447750901276,683.5645806977712,716.3589179304951,746.6924923696308,770.5058277716048,788.0255931953299,797.7057841184359,801.8179692896244,802.9415789352043,802.0501159429754,798.308340176831,594.2207366822353,601.3363592296029,617.5170078393891,638.3946936801307,658.8426880748867,700.0776262742156,717.3288448792837,738.1268782288233,758.4383771712241,772.1711405018943,689.4382362193533,692.3439037023484,694.9847036565355,697.7775120239312,671.400869126448,685.7642172629039,701.7266095720282,716.8780285219169,729.0994305312691,616.3947417547091,629.5534738583993,643.5018683784346,660.4942654787448,646.6329440401129,632.5177929422209,722.0003234478876,736.420390524491,750.2494148261038,764.7183668492992,752.0059036660836,737.7121726544148,661.6168209457725,675.7222260595976,691.9544364026921,704.7969356108594,717.4651232948784,735.6621674332059,751.8650158030936,738.734911881657,723.5199941766178,709.2463752381136,694.9988213810693,678.2615251553323,667.6775621551366,693.4410968736178,706.6320537687401,719.9344021975558,746.8026850335979,721.4317904855138,707.7176923162697,694.2022137883798,348.1119190943934,379.64463197185637,411.2252582980299,442.8224827688602,470.46620694587506,492.36939148124566,506.1276204585126,512.3082899808269,509.0733467264951,499.0424657383233,480.64361875281685,455.88313492685097,427.06480780055944,396.67922721951027,366.4318163743995,335.4259240609075,305.79884561840726,297.59671637646704,280.270888801114,268.6202676348721,264.60971251068423,267.9927730191563,257.2019326456132,246.67994914324254,242.0673779687904,247.2910213107269,262.39880036907545,306.1671776715983,325.8085497774181,344.4757472149884,364.2752667738212,392.2657950243757,394.5866414528554,395.04268736264834,389.02932217763475,381.25740113587227,335.1329140987868,330.5918229479852,326.91111719228746,325.1858506406068,333.28640667850755,336.6765415518722,310.74722175341583,304.7994120052381,302.48361943275904,303.2538002160541,310.2310980012255,312.47465867270415,441.8537753599655,425.6956572329638,414.584139877844,415.0633157052845,409.5316481081698,413.46654525106237,424.39463553808156,436.52649438099127,444.756921082502,448.3124793079074,450.028681991055,447.99758997328445,439.83390724325176,430.37943455134456,429.1198565426852,425.1429989593775,424.1603598574583,427.8525272211413,431.2736466758766,432.39115862198753,8.359098511480358,-6.3428575359362505,1.2877544251896238,0.6360699,0.47647408,0.70320916,0.35947382,0.14326593,0.0,0.4583979,0.066998184,0.4933427,0.14782636,0.44194457,0.3464579,0.58512014,0.0,0.48452488,0.48859912,0.08569598,0.20791085,0.08204776,0.746704,0.08412026,0.0006082077,0.00031547638,0.03413218,0.0006090926,0.4521254,0.42808932,C:/Users/Public/Desktop/feat/Onisha_PyFeat/P1_Qozeem/y2.mov,70
80,568.2838342875318,222.72748660714282,223.07664400445287,297.1029872448979,0.9457011222839355,574.5872249541818,577.8669468239549,582.279366111598,589.2037812168476,602.0439051404123,621.8591424580358,648.0398386763097,679.4959194907577,713.5800661441791,745.527032622043,770.9540174675884,789.8512454684706,800.3393895504254,804.2248027025146,804.6082035310578,803.4251903326876,800.0253927295323,591.5415444996338,600.1080837139325,617.3093123729441,638.0470428547106,658.4494835530414,703.6560793173048,721.8022310026992,742.9337112878179,763.6039928044034,777.4740841017531,688.1544838291006,690.0871708124915,691.8075444338398,693.8611677943087,666.6683014638563,681.4399329701921,697.8411242501443,713.3890244942178,726.3298118544752,614.4434432432151,628.0364710219668,642.5121685997863,659.2786871906738,644.9561735654403,630.3572126849956,720.6373656985522,735.7271697414893,750.0640911797012,764.8560062516531,751.7194171380315,736.9936335026403,655.2840997920133,670.1781233320478,687.1693974302565,700.8302991834215,714.3310999587436,733.0706707848689,750.3722441236489,735.7981887842225,719.8130815427847,704.7470780168617,689.9126407712088,672.7607556840782,661.342521397951,688.3282913546883,702.360948683429,716.679084713569,745.0940757170026,718.3306918411157,703.6690208484313,689.3610425389455,338.67052780278306,371.38870540851923,404.3928079753487,437.8480897180575,467.80932806032746,490.97647506584616,505.6535951441283,512.1782731284645,509.3074207654858,499.0755572506649,480.37978362593776,455.7120140226803,426.98485373805283,395.8682277975183,364.5516031374497,332.481915243732,301.8410021370167,298.6749914873708,282.7300794940866,273.5210750736389,271.04795166295037,274.5747367121298,262.6941348820807,252.26219295849458,247.41842648827873,251.64416047059265,266.4714469359105,305.5679080958845,325.2659916185985,344.05088967935865,363.9154599436324,390.7071494343967,393.12105312116637,393.7495567740314,387.70169664751865,380.45106039332927,330.86926021233415,325.8099821856019,322.8300299526675,323.49176932750584,329.93777810292585,332.5767241782484,309.78393592985356,302.3955116825219,300.0792219912024,302.13652168153146,308.69954612386056,310.8825954208243,437.45765498671824,422.11800926651796,411.6264863611656,412.2581988337352,406.5964808453145,410.0346992830783,420.28694199059254,430.4073255837564,437.94851939967236,441.4884000458249,443.19294207326647,442.1156924223776,435.4486150947276,425.488544984023,424.39535748691935,420.3058761518957,419.91274261193075,422.6687999812397,426.23677373765355,427.2989143103308,9.299557370130756,-5.959293008823124,1.3062250094671162,0.71883726,0.5505363,0.64681274,0.34753415,0.3142656,0.0,0.45699233,0.051549587,0.4757123,0.34663662,0.2839736,0.3413222,0.69353735,0.0,0.48966244,0.57173526,0.105145216,0.10401743,0.110505246,0.32468912,0.23198165,0.00088516943,0.00025158326,0.017579563,0.0007241104,0.26366517,0.48491284,C:/Users/Public/Desktop/feat/Onisha_PyFeat/P1_Qozeem/y2.mov,80
90,567.9162690839695,212.56216753029335,230.7131639631043,309.0604602598853,0.9624854922294617,577.0417719712237,578.8901036273572,582.2247690850029,588.9790523081462,602.177033293771,622.1526300971108,648.5767989756775,680.3823307069024,714.6324131765292,746.1445024381773,770.9600596877837,789.4609834604653,800.9341209059439,806.0108778970226,807.1662558106843,805.7713844535488,801.3761470177868,597.1160155801294,605.8831136456283,622.7448425164081,643.115656555224,662.9055210425153,708.8006571944583,725.3620245031925,745.0825875371618,764.4560022384454,777.5221225640811,692.862450322454,694.62571361567,696.0931359679581,697.6845272357901,669.6562894551073,684.7957390500425,701.3420744645952,717.2372193809148,730.5183400047994,618.3319315521196,631.3510661555748,646.2899394389574,663.1482750806831,649.116919249918,634.2485742876916,725.1500747952334,738.9601412484927,753.6222508331218,768.5738128036517,756.3246317153266,741.5568346511656,656.367951311443,672.2070361047563,690.1293203743573,703.7740359916202,717.3134620324324,736.6171773773127,754.3371721415391,740.0444934621468,723.840730494845,708.8594142161267,693.7778042552,675.3000141255492,662.6014015069242,691.1047134609223,705.3459521141964,719.6913971633111,749.4025328676557,722.1125047785081,707.4822716518344,693.0085691761889,344.5620293127349,377.24536839984216,409.803522756435,442.6868523533363,472.0001955050397,494.5763984246848,509.11867286467003,516.0142006288024,514.1462004023043,504.46756164192175,486.0497111903196,461.16768202041357,432.52641927871,401.5572687714615,369.69157630492066,337.27908763466456,306.6487737068483,301.3649523734195,285.20333397414277,275.12974324700474,271.76077522789427,274.4636866475408,259.91976533091366,249.84516326677735,245.20123087878704,249.0540822033178,263.2396586366669,304.46773428402054,324.27255329544965,343.26908746158585,363.44209945755466,391.0380597518858,393.6110116040426,394.36238525585,388.43093244619286,381.0504934603467,331.4211142606828,322.8654353657014,319.4836018136297,323.26400161877837,329.7317725176771,332.79696363996095,307.8555032237212,296.74619288175154,293.7633787501549,298.60452185280207,305.4795686611123,308.10774061865936,440.97679754437746,425.54830451948624,415.04105469807547,415.983399723168,410.35775753719736,413.75397086451176,423.66777034592786,435.48471815935477,444.1052442037207,447.68721195281023,449.2862739078201,447.3873035581627,439.31661325493843,430.25149683442805,429.2131466381146,425.0842168923594,423.64723412578877,427.68835992494274,431.25226729528777,432.12707932519726,8.411414678160623,-5.627926199183247,1.361576670039976,0.5006986,0.5500896,0.6557537,0.46091196,0.2626528,0.0,0.41821074,0.022442799,0.49913675,0.18775198,0.27624267,0.119742095,0.5812263,0.0,0.36483312,0.5679453,0.27864215,0.18066876,0.08336419,0.3083761,0.21655634,0.0005948533,0.0007091672,0.029468833,0.0007728155,0.3043068,0.44759113,C:/Users/Public/Desktop/feat/Onisha_PyFeat/P1_Qozeem/y2.mov,90
